x, y, du, u,e_to_next_x, e_to_next_y, to_next_theta,tx, ty, t_theta,nx, ny, n_theta,kappa
0,0,2,0,1,0,0,0,0,0,0,0,0,0
2,0,2,2,1,0,0,0,0,0,0,0,0,0
4,0,2,4,1,0,0,0,0,0,0,0,0,0
6,0,2,6,1,0,0,0,0,0,0,0,0,0
8,0,2,8,1,0,0,0,0,0,0,0,0,0
10,0,2,10,1,0,0,0,0,0,0,0,0,0
12,0,2,12,1,0,0,0,0,0,0,0,0,0
14,0,2,14,1,0,0,0,0,0,0,0,0,0
16,0,2,16,1,0,0,0,0,0,0,0,0,0
18,0,2,18,1,0,0,0,0,0,0,0,0,0
20,0,2,20,1,0,0,0,0,0,0,0,0,0
22,0,2,22,1,0,0,0,0,0,0,0,0,0
24,0,2,24,1,0,0,0,0,0,0,0,0,0
26,0,2,26,1,0,0,0,0,0,0,0,0,0
28,0,2,28,1,0,0,0,0,0,0,0,0,0
30,0,2,30,1,0,0,0,0,0,0,0,0,0
32,0,2,32,1,0,0,0,0,0,0,0,0,0
34,0,2,34,1,0,0,0,0,0,0,0,0,0
36,0,2,36,1,0,0,0,0,0,0,0,0,0
38,0,2,38,1,0,0,0,0,0,0,0,0,-4.33754e-08
40,0,2,40,1,0,0,0,0,0,0,0,0,-6.3931e-06
42,0,2,42,1,-3.47003e-07,-3.47003e-07,0,0,0,0,0,0,-3.6555e-05
44,-6.94007e-07,2,44,1,-5.11448e-05,-5.11448e-05,0,0,0,0,0,0,-6.15511e-05
46,-0.000102984,0.1,46,1,-0.00029244,-0.00029244,0,0,0,0,0,0,-0.000114689
46.1,-0.000132228,0.1,46.1,1,-0.000375462,-0.000375462,0,0,0,0,0,0,-0.000246826
46.2,-0.000169774,0.1,46.2,1,-0.000482039,-0.000482039,0,0,0,0,0,0,-0.001255
46.3,-0.000217978,0.1,46.3,1,-0.000618845,-0.000618845,0,0,0,0,0,0,-0.00161084
46.4,-0.000279862,0.1,46.4,1,-0.00079444,-0.00079444,0,0,0,0,0,0,-0.00206734
46.5,-0.000359306,0.1,46.5,0.999999,-0.0010198,-0.0010198,0,0,0,0,0,0,-0.00265284
46.6,-0.000461286,0.1,46.6,0.999999,-0.00130897,-0.00130897,0,0,0,0,0,0,-0.00340356
46.7,-0.000592183,0.1,46.7,0.999999,-0.00167998,-0.00167998,0,0,0,0,0,0,-0.00436571
46.8,-0.000760182,0.1,46.8,0.999998,-0.00215586,-0.00215586,0,0,0,0,0,0,-0.0055982
46.9,-0.000975768,0.1,46.9,0.999996,-0.00276608,-0.00276608,0,0,0,0,0,0,-0.00717591
47,-0.00125238,0.100001,47,0.999994,-0.00354825,-0.00354826,0,0,0,0,0,0,-0.00919376
47.1,-0.00160721,0.100001,47.1,0.99999,-0.00455034,-0.00455036,0,0,0,0,0,0,-0.0117716
47.2,-0.00206224,0.100002,47.2,0.999983,-0.00583336,-0.00583339,0,0,0,0,0,0,-0.0150602
47.3,-0.00264559,0.100003,47.3,0.999972,-0.00747471,-0.00747478,0,0,0,0,0,0,-0.0192474
47.4,-0.00339308,0.100005,47.4,0.999954,-0.00957228,-0.00957242,0,0,0,0,0,0,-0.024566
47.5,-0.00435035,0.100008,47.5,0.999925,-0.0122492,-0.0122495,0,0,0,0,0,0,-0.0313004
47.6,-0.00557537,0.100012,47.6,0.999877,-0.0156596,-0.0156602,0,0,0,0,0,0,-0.0397927
47.7,-0.00714151,0.10002,47.7,0.9998,-0.0199945,-0.0199958,0,0,0,0,0,0,-0.050445
47.8,-0.00914136,0.100032,47.8001,0.999675,-0.0254885,-0.0254913,0,0,0,0,0,0,-0.0637142
47.9,-0.011691,0.100053,47.9001,0.999474,-0.0324255,-0.0324312,0,0,0,0,0,0,-0.0800931
48,-0.0149353,0.100085,48.0001,0.999153,-0.0411417,-0.0411533,0,0,0,0,0,0,-0.100069
48.1,-0.0190529,0.100136,48.1002,0.998646,-0.0520247,-0.0520482,0,0,0,0,0,0,-0.124046
48.2,-0.0242625,0.100215,48.2004,0.997852,-0.0655024,-0.0655494,0,0,0,0,0,0,-0.152217
48.3,-0.0308268,0.100338,48.3006,0.996631,-0.0820178,-0.08211,0,0,0,0,0,0,-0.184375
48.4,-0.0390563,0.100524,48.4009,0.994786,-0.10198,-0.102158,0,0,0,0,0,0,-0.219653
48.5,-0.0493078,0.100799,48.5014,0.99207,-0.125689,-0.126022,0,0,0,0,0,0,-0.256236
48.6,-0.0619772,0.101195,48.6022,0.988193,-0.153217,-0.153823,0,0,0,0,0,0,-0.291122
48.7,-0.0774819,0.101742,48.7034,0.982874,-0.184277,-0.185336,0,0,0,0,0,0,-0.32008
48.8,-0.0962307,0.102466,48.8052,0.975931,-0.218081,-0.219847,0,0,0,0,0,0,-0.337976
48.9,-0.118577,0.10337,48.9076,0.967401,-0.253251,-0.256039,0,0,0,0,0,0,-0.339583
49,-0.144755,0.104419,49.011,0.957676,-0.287847,-0.291978,0,0,0,0,0,0,-0.320758
49.1,-0.174812,0.105533,49.1154,0.947573,-0.31954,-0.325244,0,0,0,0,0,0,-0.279617
49.2,-0.208534,0.10658,49.221,0.938266,-0.345916,-0.353215,0,0,0,0,0,0,-0.217247
49.3,-0.245401,0.107403,49.3275,0.931074,-0.364831,-0.373451,0,0,0,0,0,0,-0.137661
49.4,-0.284585,0.107858,49.4349,0.927145,-0.374703,-0.384076,0,0,0,0,0,0,-0.0470935
49.5,-0.325,0.107858,49.5428,0.927145,-0.374703,-0.384076,0,0,0,0,0,0,0.0470035
49.6,-0.365415,0.107403,49.6507,0.931074,-0.364831,-0.373451,0,0,0,0,0,0,0.136916
49.7,-0.404599,0.10658,49.7581,0.938266,-0.345916,-0.353215,0,0,0,0,0,0,0.215499
49.8,-0.441466,0.105533,49.8646,0.947573,-0.31954,-0.325244,0,0,0,0,0,0,0.276957
49.9,-0.475188,0.104419,49.9702,0.957676,-0.287847,-0.291978,0,0,0,0,0,0,0.317616
50,-0.505245,0.10337,50.0746,0.967401,-0.253251,-0.256039,0,0,0,0,0,0,0.336488
50.1,-0.531423,0.102466,50.178,0.975931,-0.218081,-0.219847,0,0,0,0,0,0,0.335331
50.2,-0.553769,0.101742,50.2804,0.982874,-0.184277,-0.185336,0,0,0,0,0,0,0.318067
50.3,-0.572518,0.101195,50.3822,0.988193,-0.153217,-0.153823,0,0,0,0,0,0,0.28973
50.4,-0.588023,0.100799,50.4834,0.99207,-0.125689,-0.126022,0,0,0,0,0,0,0.255345
50.5,-0.600692,0.100524,50.5842,0.994786,-0.10198,-0.102158,0,0,0,0,0,0,0.219119
50.6,-0.610944,0.100338,50.6847,0.996631,-0.0820178,-0.08211,0,0,0,0,0,0,0.184071
50.7,-0.619173,0.100215,50.785,0.997852,-0.0655024,-0.0655494,0,0,0,0,0,0,0.152051
50.8,-0.625738,0.100136,50.8852,0.998646,-0.0520247,-0.0520482,0,0,0,0,0,0,0.123957
50.9,-0.630947,0.100085,50.9854,0.999153,-0.0411417,-0.0411533,0,0,0,0,0,0,0.100023
51,-0.635065,0.100053,51.0855,0.999474,-0.0324255,-0.0324312,0,0,0,0,0,0,0.0800699
51.1,-0.638309,0.100032,51.1855,0.999675,-0.0254885,-0.0254913,0,0,0,0,0,0,0.0637027
51.2,-0.640859,0.10002,51.2855,0.9998,-0.0199945,-0.0199958,0,0,0,0,0,0,0.0504393
51.3,-0.642858,0.100012,51.3856,0.999877,-0.0156596,-0.0156602,0,0,0,0,0,0,0.0397899
51.4,-0.644425,0.100008,51.4856,0.999925,-0.0122492,-0.0122495,0,0,0,0,0,0,0.031299
51.5,-0.64565,0.100005,51.5856,0.999954,-0.00957228,-0.00957242,0,0,0,0,0,0,0.0245653
51.6,-0.646607,0.100003,51.6856,0.999972,-0.00747471,-0.00747478,0,0,0,0,0,0,0.0192471
51.7,-0.647354,0.100002,51.7856,0.999983,-0.00583336,-0.00583339,0,0,0,0,0,0,0.01506
51.8,-0.647938,0.100001,51.8856,0.99999,-0.00455034,-0.00455036,0,0,0,0,0,0,0.0117716
51.9,-0.648393,0.100001,51.9856,0.999994,-0.00354825,-0.00354826,0,0,0,0,0,0,0.00919373
