x, y, z, nx, ny, nz, 
0, 0, 0, 0, 0, 1, 
2, 0, 0, 0, 0, 1, 
4, 0, 0, 0, 0, 1, 
6, 0, 0, 0, 0, 1, 
8, 0, 0, 0, 0, 1, 
10, 0, 0, 0, 0, 1, 
12, 0, 0, 0, 0, 1, 
14, 0, 0, 0, 0, 1, 
16, 0, 0, 0, 0, 1, 
18, 0, 0, 0, 0, 1, 
20, 0, 0, 0, 0, 1, 
22, 0, 0, 0, 0, 1, 
24, 0, 0, 0, 0, 1, 
26, 0, 0, 0, 0, 1, 
28, 0, 0, 0, 0, 1, 
30, 0, 0, 0, 0, 1, 
32, 0, 0, 0, 0, 1, 
34, 0, 0, 0, 0, 1, 
36, 0, 0, 0, 0, 1, 
38, 0, 0, 0, 0, 1, 
40, 0, 0, 0, 0, 1, 
42, 0, 0, 0, 0, 1, 
44, 0, 0, 0, 0, 1, 
46, 0, 0, 0, 0, 1, 
46.1, 0, 0, 0, 0, 1, 
46.2, 0, 0, 0, 0, 1, 
46.3, 0, 0, 0, 0, 1, 
46.4, 0, 0, 0, 0, 1, 
46.5, 0, 0, 0, 0, 1, 
46.6, 0, 0, 0, 0, 1, 
46.7, 0, 0, 0, 0, 1, 
46.8, 0, 0, 0, 0, 1, 
46.9, 0, 0, 0, 0, 1, 
47, 0, 0, 0, 0, 1, 
47.1, 0, 0, 0, 0, 1, 
47.2, 0, 0, 0, 0, 1, 
47.3, 0, 0, 0, 0, 1, 
47.4, 0, 0, 0, 0, 1, 
47.5, 0, 0, 0, 0, 1, 
47.6, 0, 0, 0, 0, 1, 
47.7, 0, 0, 0, 0, 1, 
47.8, 0, 0, 0, 0, 1, 
47.9, 0, 0, 0, 0, 1, 
48, 0, 0, 0, 0, 1, 
48.1, 0, 0, 0, 0, 1, 
48.2, 0, 0, 0, 0, 1, 
48.3, 0, 0, 0, 0, 1, 
48.4, 0, 0, 0, 0, 1, 
48.5, 0, 0, 0, 0, 1, 
48.6, 0, 0, 0, 0, 1, 
48.7, 0, 0, 0, 0, 1, 
48.8, 0, 0, 0, 0, 1, 
48.9, 0, 0, 0, 0, 1, 
49, 0, 0, 0, 0, 1, 
49.1, 0, 0, 0, 0, 1, 
49.2, 0, 0, 0, 0, 1, 
49.3, 0, 0, 0, 0, 1, 
49.4, 0, 0, 0, 0, 1, 
49.5, 0, 0, 0, 0, 1, 
49.6, 0, 0, 0, 0, 1, 
49.7, 0, 0, 0, 0, 1, 
49.8, 0, 0, 0, 0, 1, 
49.9, 0, 0, 0, 0, 1, 
50, 0, 0, 0, 0, 1, 
50.1, 0, 0, 0, 0, 1, 
50.2, 0, 0, 0, 0, 1, 
50.3, 0, 0, 0, 0, 1, 
50.4, 0, 0, 0, 0, 1, 
50.5, 0, 0, 0, 0, 1, 
50.6, 0, 0, 0, 0, 1, 
50.7, 0, 0, 0, 0, 1, 
50.8, 0, 0, 0, 0, 1, 
50.9, 0, 0, 0, 0, 1, 
51, 0, 0, 0, 0, 1, 
51.1, 0, 0, 0, 0, 1, 
51.2, 0, 0, 0, 0, 1, 
51.3, 0, 0, 0, 0, 1, 
51.4, 0, 0, 0, 0, 1, 
51.5, 0, 0, 0, 0, 1, 
51.6, 0, 0, 0, 0, 1, 
51.7, 0, 0, 0, 0, 1, 
51.8, 0, 0, 0, 0, 1, 
51.9, 0, 0, 0, 0, 1, 
52, 0, 0, 0, 0, 1, 
52.1, 0, 0, 0, 0, 1, 
52.2, 0, 0, 0, 0, 1, 
52.3, 0, 0, 0, 0, 1, 
52.4, 0, 0, 0, 0, 1, 
52.5, 0, 0, 0, 0, 1, 
52.6, 0, 0, 0, 0, 1, 
52.7, 0, 0, 0, 0, 1, 
52.8, 0, 0, 0, 0, 1, 
52.9, 0, 0, 0, 0, 1, 
53, 0, 0, 0, 0, 1, 
53.1, 0, 0, 0, 0, 1, 
53.2, 0, 0, 0, 0, 1, 
53.3, 0, 0, 0, 0, 1, 
53.4, 0, 0, 0, 0, 1, 
53.5, 0, 0, 0, 0, 1, 
53.6, 0, 0, 0, 0, 1, 
53.7, 0, 0, 0, 0, 1, 
53.8, 0, 0, 0, 0, 1, 
53.9, 0, 0, 0, 0, 1, 
54, 0, 0, 0, 0, 1, 
54.1, 0, 0, 0, 0, 1, 
54.2, 0, 0, 0, 0, 1, 
54.3, 0, 0, 0, 0, 1, 
54.4, 0, 0, 0, 0, 1, 
54.5, 0, 0, 0, 0, 1, 
54.6, 0, 0, 0, 0, 1, 
54.7, 0, 0, 0, 0, 1, 
54.8, 0, 0, 0, 0, 1, 
54.9, 0, 0, 0, 0, 1, 
55, 0, 0, 0, 0, 1, 
55.1, 0, 0, 0, 0, 1, 
55.2, 0, 0, 0, 0, 1, 
55.3, 0, 0, 0, 0, 1, 
55.4, 0, 0, 0, 0, 1, 
55.5, 0, 0, 0, 0, 1, 
55.6, 0, 0, 0, 0, 1, 
55.7, 0, 0, 0, 0, 1, 
55.8, 0, 0, 0, 0, 1, 
55.9, 0, 0, 0, 0, 1, 
56, 0, 0, 0, 0, 1, 
56.1, 0, 0, 0, 0, 1, 
56.2, 0, 0, 0, 0, 1, 
56.3, 0, 0, 0, 0, 1, 
56.4, 0, 0, 0, 0, 1, 
56.5, 0, 0, 0, 0, 1, 
56.6, 0, 0, 0, 0, 1, 
56.7, 0, 0, 0, 0, 1, 
56.8, 0, 0, 0, 0, 1, 
56.9, 0, 0, 0, 0, 1, 
57, 0, 0, 0, 0, 1, 
57.1, 0, 0, 0, 0, 1, 
57.2, 0, 0, 0, 0, 1, 
57.3, 0, 0, 0, 0, 1, 
57.4, 0, 0, 0, 0, 1, 
57.5, 0, 0, 0, 0, 1, 
57.6, 0, 0, 0, 0, 1, 
57.7, 0, 0, 0, 0, 1, 
57.8, 0, 0, 0, 0, 1, 
57.9, 0, 0, 0, 0, 1, 
58, 0, 0, 0, 0, 1, 
58.1, 0, 0, 0, 0, 1, 
58.2, 0, 0, 0, 0, 1, 
58.3, 0, 0, 0, 0, 1, 
